Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
03-OCT-2019,20MICRONS,37.65,37.90,-0.0066,0.0301,0.0292,0.5579
03-OCT-2019,21STCENMGM,13.75,13.15,0.0446,0.0584,0.0577,1.1024
03-OCT-2019,3IINFOTECH,2.00,1.95,0.0253,0.0516,0.0504,0.9629
03-OCT-2019,3MINDIA,19988.25,20006.65,-0.0009,0.0324,0.0314,0.5999
03-OCT-2019,3PLAND,7.05,6.35,0.1046,0.0693,0.0719,1.3736
03-OCT-2019,500009,10.13,10.27,-0.0137,0.0253,0.0248,0.4738
03-OCT-2019,500012,38.20,39.60,-0.0360,0.0274,0.0280,0.5349
03-OCT-2019,500014,1.00,1.05,-0.0488,0.0363,0.0372,0.7107
03-OCT-2019,500016,5.70,5.70,0.0000,0.0273,0.0265,0.5063
03-OCT-2019,500028,3.47,3.31,0.0472,0.0352,0.0360,0.6878
03-OCT-2019,500058,0.57,0.60,-0.0513,0.0366,0.0376,0.7183
03-OCT-2019,500068,5000.00,5000.60,-0.0001,0.0227,0.0220,0.4203
03-OCT-2019,500069,71.25,72.25,-0.0139,0.0265,0.0259,0.4948
03-OCT-2019,500120,119.10,116.95,0.0182,0.0296,0.0290,0.5540
03-OCT-2019,500123,2527.70,2564.55,-0.0145,0.0263,0.0257,0.4910
03-OCT-2019,500141,2.38,2.24,0.0606,0.0426,0.0439,0.8387
03-OCT-2019,500142,1.30,1.32,-0.0153,0.0207,0.0204,0.3897
03-OCT-2019,500143,14.70,14.70,0.0000,0.0230,0.0223,0.4260
03-OCT-2019,500147,925.00,937.85,-0.0138,0.0310,0.0302,0.5770
03-OCT-2019,500153,32.55,32.55,0.0000,0.0455,0.0441,0.8425
03-OCT-2019,500159,48.05,53.40,-0.1056,0.0638,0.0670,1.2800
03-OCT-2019,500166,162.30,164.80,-0.0153,0.0232,0.0228,0.4356
03-OCT-2019,500168,922.55,937.20,-0.0158,0.0140,0.0141,0.2694
03-OCT-2019,500192,2.80,2.80,0.0000,0.0247,0.0239,0.4566
03-OCT-2019,500206,7.95,7.95,0.0000,0.0000,0.0000,0.0000
03-OCT-2019,500211,14.50,15.00,-0.0339,0.0244,0.0251,0.4795
03-OCT-2019,500212,20.00,20.00,0.0000,0.0208,0.0202,0.3859
03-OCT-2019,500213,84.95,87.00,-0.0238,0.0334,0.0329,0.6286
03-OCT-2019,500214,727.00,719.70,0.0101,0.0286,0.0278,0.5311
03-OCT-2019,500220,43.25,43.45,-0.0046,0.0379,0.0368,0.7031
03-OCT-2019,500223,0.76,0.75,0.0132,0.0454,0.0441,0.8425
03-OCT-2019,500236,0.60,0.60,0.0000,0.0260,0.0252,0.4814
03-OCT-2019,500239,29.20,30.00,-0.0270,0.0445,0.0436,0.8330
03-OCT-2019,500240,36.95,38.10,-0.0306,0.0359,0.0356,0.6801
03-OCT-2019,500245,63.05,61.50,0.0249,0.0225,0.0227,0.4337
03-OCT-2019,500246,20.00,20.00,0.0000,0.0281,0.0272,0.5197
03-OCT-2019,500248,6.26,6.26,0.0000,0.0000,0.0000,0.0000
03-OCT-2019,500264,71.20,72.00,-0.0112,0.0428,0.0416,0.7948
03-OCT-2019,500267,130.25,132.15,-0.0145,0.0333,0.0325,0.6209
