Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
01-Oct-19,20MICRONS,37.9,40,-0.0539,0.0279,0.0301,0.5751
01-Oct-19,21STCENMGM,13.15,14,-0.0626,0.0581,0.0584,1.1157
01-Oct-19,3IINFOTECH,1.95,2,-0.0253,0.0528,0.0516,0.9858
01-Oct-19,3MINDIA,20006.65,20670.9,-0.0327,0.0324,0.0324,0.619
01-Oct-19,3PLAND,6.35,6.65,-0.0462,0.0705,0.0693,1.324
01-Oct-19,500009,10.27,10.19,0.0078,0.026,0.0253,0.4834
01-Oct-19,500012,39.6,40.8,-0.0299,0.0272,0.0274,0.5235
01-Oct-19,500014,1.05,1.1,-0.0465,0.0356,0.0363,0.6935
01-Oct-19,500016,5.7,5.89,-0.0328,0.0269,0.0273,0.5216
01-Oct-19,500028,3.31,3.45,-0.0414,0.0348,0.0352,0.6725
01-Oct-19,500058,0.6,0.58,0.0339,0.0368,0.0366,0.6992
01-Oct-19,500068,5000.6,5142.95,-0.0281,0.0223,0.0227,0.4337
01-Oct-19,500069,72.25,72.35,-0.0014,0.0273,0.0265,0.5063
01-Oct-19,500120,116.95,120.25,-0.0278,0.0297,0.0296,0.5655
01-Oct-19,500123,2564.55,2592.65,-0.0109,0.027,0.0263,0.5025
01-Oct-19,500141,2.24,2.48,-0.1018,0.0356,0.0426,0.8139
01-Oct-19,500142,1.32,1.32,0,0.0213,0.0207,0.3955
01-Oct-19,500143,14.7,14.7,0,0.0237,0.023,0.4394
01-Oct-19,500147,937.85,939.95,-0.0022,0.032,0.031,0.5923
01-Oct-19,500153,32.55,32.35,0.0062,0.0469,0.0455,0.8693
01-Oct-19,500159,53.4,49.15,0.0829,0.0624,0.0638,1.2189
01-Oct-19,500166,164.8,164,0.0049,0.0239,0.0232,0.4432
01-Oct-19,500168,937.2,937.25,-0.0001,0.0144,0.014,0.2675
01-Oct-19,500192,2.8,2.8,0,0.0255,0.0247,0.4719
01-Oct-19,500206,7.95,7.95,0,0,0,0
01-Oct-19,500211,15,15.02,-0.0013,0.0252,0.0244,0.4662
01-Oct-19,500212,20,20,0,0.0215,0.0208,0.3974
01-Oct-19,500213,87,86.25,0.0087,0.0344,0.0334,0.6381
01-Oct-19,500214,719.7,691.25,0.0403,0.0277,0.0286,0.5464
01-Oct-19,500220,43.45,43.4,0.0012,0.0391,0.0379,0.7241
01-Oct-19,500223,0.75,0.78,-0.0392,0.0458,0.0454,0.8674
01-Oct-19,500236,0.6,0.6,0,0.0268,0.026,0.4967
01-Oct-19,500239,30,31,-0.0328,0.0451,0.0445,0.8502
01-Oct-19,500240,38.1,37.8,0.0079,0.037,0.0359,0.6859
01-Oct-19,500245,61.5,60.3,0.0197,0.0227,0.0225,0.4299
01-Oct-19,500246,20,20,0,0.029,0.0281,0.5368
01-Oct-19,500248,6.26,6.26,0,0,0,0
01-Oct-19,500264,72,75.2,-0.0435,0.0428,0.0428,0.8177
01-Oct-19,500267,132.15,132.05,0.0008,0.0343,0.0333,0.6362
01-Oct-19,500277,0.54,0.54,0,0.0222,0.0215,0.4108
01-Oct-19,500284,40.2,41.8,-0.039,0.0381,0.0382,0.7298
01-Oct-19,500298,1844.05,1934.3,-0.0478,0.048,0.048,0.917
01-Oct-19,500306,4.58,4.79,-0.0448,0.0521,0.0517,0.9877
01-Oct-19,500307,220.45,219.35,0.005,0.0134,0.013,0.2484
